# ECMA-262 truth: node's RegExp under the `u` flag. Regenerate with check.py --refresh.
sub:literal	true
sub:class	true
sub:range	true
sub:negclass	true
sub:negrange	true
sub:plus	true
sub:star	true
sub:opt	true
sub:lazy	true
sub:exact	true
sub:rangeq	true
sub:openrange	true
sub:groupalt	true
sub:anchors	true
anchor:dollar:lf	false
anchor:dollar:crlf	false
anchor:dollar:cr	false
anchor:dollar:ls	false
anchor:dollar:ps	false
anchor:dollar:2lf	false
anchor:dollar:bare	false
anchor:dollar:empty	false
anchor:dollar:mid	false
anchor:caret:lf	false
anchor:caret:mid	false
anchor:both	false
esc:t	true
esc:n	true
esc:r	true
esc:f	true
esc:v:vt	true
esc:v:lf	false
esc:v:cr	false
esc:v:ff	false
esc:v:ls	false
esc:v:class	false
esc:v:negcls	true
esc:nul	true
esc:hex	true
esc:uni	true
esc:unibrace	true
esc:cC	true
esc:cc	true
esc:cJ	true
esc:bs:class	true
esc:wordb	true
esc:wordb:uni	true
esc:run:cc	true
esc:run:s	true
esc:run:ctl	false
javaonly:a	SYNTAX
javaonly:e	SYNTAX
javaonly:A	SYNTAX
javaonly:z	SYNTAX
javaonly:Z	SYNTAX
javaonly:G	SYNTAX
javaonly:h	SYNTAX
javaonly:H	SYNTAX
javaonly:R	SYNTAX
javaonly:X	SYNTAX
javaonly:QE	SYNTAX
javaonly:N	SYNTAX
javaonly:possessive	SYNTAX
javaonly:inlineflag	SYNTAX
javaonly:extended	SYNTAX
javaonly:atomic	SYNTAX
javaonly:isprop	SYNTAX
class:empty	false
class:empty:blank	false
class:negempty	true
class:negempty:lf	true
class:bracket	true
class:amp	true
class:amp:a	true
class:amp:c	false
class:nested	SYNTAX
class:intersect	SYNTAX
class:caret:mid	true
class:dollar	true
legacy:openbrace	SYNTAX
legacy:rbrace	SYNTAX
legacy:rbrack	SYNTAX
legacy:escdash	SYNTAX
legacy:escslash	true
legacy:escspace	SYNTAX
legacy:nestedq	true
group:backref	true
group:named	true
group:namedref	true
group:namedollar	true
group:lookahead	true
group:neglookahead	true
group:lookbehind	true
group:neglookbehind	true
group:forwardref	true
group:noref	SYNTAX
group:octal	SYNTAX
astral:dot	true
astral:dot2	false
astral:class	true
astral:range	true
astral:quant	true
astral:prop	true
surrogate:lone	false
contam:d:uni	false
contam:d:ascii	true
contam:w	false
contam:D	true
contam:W	true
contam:b	true
contam:wcls	false
contam:order	false
sh:d:0	false
sh:d:1	false
sh:d:2	true
sh:d:3	false
sh:d:4	false
sh:d:5	false
sh:d:6	false
sh:d:7	false
sh:d:8	false
sh:d:9	false
sh:d:10	false
sh:d:11	false
sh:d:12	false
sh:d:13	false
sh:d:14	false
sh:d:15	false
sh:d:16	false
sh:d:17	false
sh:d:18	false
sh:d:19	false
sh:d:20	false
sh:d:21	false
sh:d:22	false
sh:d:23	false
sh:d:24	false
sh:d:25	false
sh:d:26	false
sh:d:27	false
sh:d:28	false
sh:d:29	false
sh:d:30	false
sh:d:31	false
sh:d:32	false
sh:d:33	false
sh:d:34	false
sh:d:35	false
sh:d:36	false
sh:d:37	false
sh:d:38	false
sh:d:39	false
sh:d:40	false
sh:d:41	false
sh:d:42	false
sh:d:43	false
sh:d:44	false
sh:d:45	false
sh:d:46	false
sh:d:47	false
sh:d:48	false
sh:d:49	false
sh:d:50	false
sh:d:51	false
sh:d:52	false
sh:D:0	true
sh:D:1	true
sh:D:2	false
sh:D:3	true
sh:D:4	true
sh:D:5	true
sh:D:6	true
sh:D:7	true
sh:D:8	true
sh:D:9	true
sh:D:10	true
sh:D:11	true
sh:D:12	true
sh:D:13	true
sh:D:14	true
sh:D:15	true
sh:D:16	true
sh:D:17	true
sh:D:18	true
sh:D:19	true
sh:D:20	true
sh:D:21	true
sh:D:22	true
sh:D:23	true
sh:D:24	true
sh:D:25	true
sh:D:26	true
sh:D:27	true
sh:D:28	true
sh:D:29	true
sh:D:30	true
sh:D:31	true
sh:D:32	true
sh:D:33	true
sh:D:34	true
sh:D:35	true
sh:D:36	true
sh:D:37	true
sh:D:38	true
sh:D:39	true
sh:D:40	true
sh:D:41	true
sh:D:42	true
sh:D:43	true
sh:D:44	true
sh:D:45	true
sh:D:46	true
sh:D:47	true
sh:D:48	true
sh:D:49	true
sh:D:50	true
sh:D:51	true
sh:D:52	true
sh:w:0	true
sh:w:1	true
sh:w:2	true
sh:w:3	true
sh:w:4	false
sh:w:5	false
sh:w:6	false
sh:w:7	false
sh:w:8	false
sh:w:9	false
